match_number,match_id,date,event_name,ground_name,ground_city,team_1,team_2,toss_winner,toss_decision,team_1_total_runs,team_2_total_runs,winner,margin_runs,margin_wickets,winning_method,player_of_the_match
2462,1456871,2024-11-17,Myanmar tour of Indonesia,Udayana Cricket Ground,Bali,Indonesia,Myanmar,Indonesia,bat,185,71,Indonesia,114.0,,,IK Gamantika
2463,1426554,2024-11-18,Pakistan tour of Australia,"Bellerive Oval, Hobart",Hobart,Pakistan,Australia,Pakistan,bat,117,118,Australia,,7.0,,MP Stoinis
2464,1456872,2024-11-19,Myanmar tour of Indonesia,Udayana Cricket Ground,Bali,Myanmar,Indonesia,Myanmar,bat,101,102,Indonesia,,4.0,,IK Gamantika
2465,1457217,2024-11-19,ICC Men's T20 World Cup Asia Qualifier B,"West End Park International Cricket Stadium, Doha",Doha,Thailand,Qatar,Qatar,field,122,123,Qatar,,5.0,,Mohammad Ahnaff
2466,1457218,2024-11-19,ICC Men's T20 World Cup Asia Qualifier B,University of Doha for Science and Technology,Doha,United Arab Emirates,Bhutan,Bhutan,field,166,103,United Arab Emirates,63.0,,,Waseem Muhammad
2467,1457219,2024-11-19,ICC Men's T20 World Cup Asia Qualifier B,"West End Park International Cricket Stadium, Doha",Doha,Bahrain,Saudi Arabia,Saudi Arabia,field,188,185,Bahrain,3.0,,,Abdul Waheed
2468,1457220,2024-11-20,ICC Men's T20 World Cup Asia Qualifier B,"West End Park International Cricket Stadium, Doha",Doha,Thailand,Cambodia,Cambodia,field,178,162,Thailand,16.0,,,J Coetzee
2469,1457221,2024-11-20,ICC Men's T20 World Cup Asia Qualifier B,University of Doha for Science and Technology,Doha,Bhutan,Qatar,Qatar,field,111,112,Qatar,,6.0,,Amir Farooq
2470,1457222,2024-11-20,ICC Men's T20 World Cup Asia Qualifier B,"West End Park International Cricket Stadium, Doha",Doha,United Arab Emirates,Saudi Arabia,United Arab Emirates,bat,162,145,United Arab Emirates,17.0,,,R Chopra
2471,1457223,2024-11-22,ICC Men's T20 World Cup Asia Qualifier B,"West End Park International Cricket Stadium, Doha",Doha,Cambodia,United Arab Emirates,United Arab Emirates,field,132,134,United Arab Emirates,,5.0,,Muhammad Jawadullah
2472,1457224,2024-11-22,ICC Men's T20 World Cup Asia Qualifier B,University of Doha for Science and Technology,Doha,Bahrain,Thailand,Bahrain,bat,102,103,Thailand,,2.0,,N Salekar
