match_number,match_id,date,event_name,ground_name,ground_city,team_1,team_2,toss_winner,toss_decision,team_1_total_runs,team_2_total_runs,winner,margin_runs,margin_wickets,winning_method,player_of_the_match
1,211048,2005-02-17,,Eden Park,Auckland,New Zealand,Australia,Australia,bat,170,214,Australia,44.0,,,RT Ponting
2,211028,2005-06-13,,The Rose Bowl,Southampton,England,Australia,England,bat,179,79,England,100.0,,,KP Pietersen
3,222678,2005-10-21,,New Wanderers Stadium,Johannesburg,South Africa,New Zealand,New Zealand,field,133,134,New Zealand,,5.0,,JS Patel
4,226374,2006-01-09,,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,South Africa,Australia,bat,209,114,Australia,95.0,,,DR Martyn
5,237242,2006-02-16,,Eden Park,Auckland,New Zealand,West Indies,New Zealand,field,126,126,tie,,,,DR Smith
6,238195,2006-02-24,,New Wanderers Stadium,Johannesburg,South Africa,Australia,South Africa,bat,201,199,South Africa,2.0,,,GC Smith
7,225271,2006-06-15,,The Rose Bowl,Southampton,England,Sri Lanka,Sri Lanka,bat,161,163,Sri Lanka,2.0,,,ST Jayasuriya
8,225263,2006-08-28,,County Ground,Bristol,England,Pakistan,England,bat,144,148,Pakistan,,5.0,,Shahid Afridi
9,255954,2006-12-01,,New Wanderers Stadium,Johannesburg,South Africa,India,South Africa,bat,126,127,India,,6.0,,KD Karthik
10,251487,2006-12-22,Sri Lanka in New Zealand T20I Series,Westpac Stadium,Wellington,New Zealand,Sri Lanka,New Zealand,bat,162,62,Sri Lanka,18.0,,D/L,ST Jayasuriya
11,251488,2006-12-26,Sri Lanka in New Zealand T20I Series,Eden Park,Auckland,New Zealand,Sri Lanka,New Zealand,field,116,115,New Zealand,,5.0,,JEC Franklin
12,249227,2007-01-09,,Sydney Cricket Ground,,Australia,England,Australia,bat,221,144,Australia,77.0,,,CL White
13,258463,2007-06-28,West Indies in England T20I Series,Kennington Oval,London,England,West Indies,West Indies,bat,193,208,West Indies,15.0,,,PD Collingwood
14,258464,2007-06-29,West Indies in England T20I Series,Kennington Oval,London,England,West Indies,West Indies,bat,173,169,England,,5.0,,OA Shah
15,306987,2007-09-01,Twenty20 Quadrangular (in Kenya),Gymkhana Club Ground,Nairobi,Kenya,Bangladesh,Bangladesh,field,138,139,Bangladesh,,5.0,,Nazimuddin
16,306989,2007-09-02,Twenty20 Quadrangular (in Kenya),Gymkhana Club Ground,Nairobi,Bangladesh,Pakistan,Bangladesh,field,161,191,Pakistan,30.0,,,Imran Nazir
17,306991,2007-09-04,Twenty20 Quadrangular (in Kenya),Gymkhana Club Ground,Nairobi,Kenya,Pakistan,Kenya,bat,92,93,Pakistan,,8.0,,Younis Khan
18,287853,2007-09-11,ICC World Twenty20,New Wanderers Stadium,Johannesburg,South Africa,West Indies,South Africa,field,208,205,South Africa,,8.0,,CH Gayle
19,287854,2007-09-12,ICC World Twenty20,Kingsmead,Durban,Kenya,New Zealand,New Zealand,field,73,74,New Zealand,,9.0,,MR Gillespie
20,287855,2007-09-12,ICC World Twenty20,Kingsmead,Durban,Pakistan,Scotland,Scotland,field,171,120,Pakistan,51.0,,,Shahid Afridi
21,287856,2007-09-12,ICC World Twenty20,Newlands,Cape Town,Australia,Zimbabwe,Australia,bat,138,139,Zimbabwe,,5.0,,BRM Taylor
22,287857,2007-09-13,ICC World Twenty20,New Wanderers Stadium,Johannesburg,Bangladesh,West Indies,Bangladesh,field,165,164,Bangladesh,,6.0,,Mohammad Ashraful
23,287858,2007-09-13,ICC World Twenty20,Newlands,Cape Town,England,Zimbabwe,England,bat,188,138,England,50.0,,,KP Pietersen
24,287860,2007-09-14,ICC World Twenty20,New Wanderers Stadium,Johannesburg,Kenya,Sri Lanka,Kenya,field,88,260,Sri Lanka,172.0,,,ST Jayasuriya
25,287861,2007-09-14,ICC World Twenty20,Newlands,Cape Town,Australia,England,England,bat,136,135,Australia,,8.0,,NW Bracken
26,287862,2007-09-14,ICC World Twenty20,Kingsmead,Durban,India,Pakistan,Pakistan,field,141,141,tie,,,,Mohammad Asif
27,287863,2007-09-15,ICC World Twenty20,New Wanderers Stadium,Johannesburg,New Zealand,Sri Lanka,New Zealand,bat,164,168,Sri Lanka,,7.0,,ST Jayasuriya
28,287864,2007-09-15,ICC World Twenty20,Newlands,Cape Town,South Africa,Bangladesh,South Africa,field,146,144,South Africa,,7.0,,M Morkel
29,287865,2007-09-16,ICC World Twenty20,New Wanderers Stadium,Johannesburg,India,New Zealand,India,field,180,190,New Zealand,10.0,,,DL Vettori
30,287866,2007-09-16,ICC World Twenty20,Newlands,Cape Town,Australia,Bangladesh,Australia,field,124,123,Australia,,9.0,,B Lee
31,287867,2007-09-16,ICC World Twenty20,Newlands,Cape Town,South Africa,England,England,field,154,135,South Africa,19.0,,,JA Morkel
32,287868,2007-09-17,ICC World Twenty20,New Wanderers Stadium,Johannesburg,Pakistan,Sri Lanka,Sri Lanka,field,189,156,Pakistan,33.0,,,Younis Khan
33,287869,2007-09-18,ICC World Twenty20,Kingsmead,Durban,England,New Zealand,England,field,159,164,New Zealand,5.0,,,CD McMillan
34,287870,2007-09-18,ICC World Twenty20,New Wanderers Stadium,Johannesburg,Australia,Pakistan,Pakistan,field,164,165,Pakistan,,6.0,,Misbah-ul-Haq
35,287871,2007-09-18,ICC World Twenty20,New Wanderers Stadium,Johannesburg,Bangladesh,Sri Lanka,Bangladesh,field,83,147,Sri Lanka,64.0,,,CRD Fernando
36,287872,2007-09-19,ICC World Twenty20,Kingsmead,Durban,South Africa,New Zealand,South Africa,field,158,153,South Africa,,6.0,,JM Kemp
37,287873,2007-09-19,ICC World Twenty20,Kingsmead,Durban,England,India,India,bat,200,218,India,18.0,,,Yuvraj Singh
38,287874,2007-09-20,ICC World Twenty20,Newlands,Cape Town,Australia,Sri Lanka,Australia,field,102,101,Australia,,10.0,,SR Clark
39,287875,2007-09-20,ICC World Twenty20,Newlands,Cape Town,Bangladesh,Pakistan,Pakistan,field,140,141,Pakistan,,4.0,,Junaid Siddique
40,287876,2007-09-20,ICC World Twenty20,Kingsmead,Durban,South Africa,India,India,bat,116,153,India,37.0,,,RG Sharma
41,287877,2007-09-22,ICC World Twenty20,Newlands,Cape Town,New Zealand,Pakistan,New Zealand,bat,143,147,Pakistan,,6.0,,Umar Gul
42,287878,2007-09-22,ICC World Twenty20,Kingsmead,Durban,Australia,India,India,bat,173,188,India,15.0,,,Yuvraj Singh
43,287879,2007-09-24,ICC World Twenty20,New Wanderers Stadium,Johannesburg,India,Pakistan,India,bat,157,152,India,5.0,,,IK Pathan
44,297800,2007-10-20,,Brabourne Stadium,Mumbai,India,Australia,Australia,bat,167,166,India,,7.0,,G Gambhir
45,298795,2007-11-23,,New Wanderers Stadium,Johannesburg,South Africa,New Zealand,South Africa,field,131,129,South Africa,,3.0,,AB de Villiers
46,291343,2007-12-11,,Western Australia Cricket Association Ground,Perth,Australia,New Zealand,Australia,bat,186,132,Australia,54.0,,,A Symonds
47,319112,2007-12-16,West Indies in South Africa T20I Series,St George's Park,Port Elizabeth,South Africa,West Indies,West Indies,field,58,60,West Indies,,5.0,,JE Taylor
48,298804,2008-01-18,West Indies in South Africa T20I Series,New Wanderers Stadium,Johannesburg,South Africa,West Indies,South Africa,field,134,131,South Africa,,4.0,,SM Pollock
49,291356,2008-02-01,,Melbourne Cricket Ground,,Australia,India,India,bat,75,74,Australia,,9.0,,MJ Clarke
50,300435,2008-02-05,England in New Zealand T20I Series,Eden Park,Auckland,New Zealand,England,New Zealand,field,152,184,England,32.0,,,AD Mascarenhas
51,300436,2008-02-07,England in New Zealand T20I Series,Jade Stadium,Christchurch,New Zealand,England,England,bat,143,193,England,50.0,,,PD Collingwood
52,343764,2008-04-20,,National Stadium,Karachi,Pakistan,Bangladesh,Pakistan,bat,203,101,Pakistan,102.0,,,Misbah-ul-Haq
53,296903,2008-06-13,,Old Trafford,Manchester,England,New Zealand,England,field,127,123,England,,9.0,,IR Bell
54,319142,2008-06-20,,"Kensington Oval, Bridgetown",Barbados,West Indies,Australia,West Indies,field,102,97,West Indies,,7.0,,XM Marshall
55,354456,2008-08-03,ICC World Twenty20 Qualifier,"Civil Service Cricket Club, Stormont",Belfast,Bermuda,Scotland,Scotland,field,99,100,Scotland,,8.0,,JD Nel
56,361530,2008-08-04,ICC World Twenty20 Qualifier,"Civil Service Cricket Club, Stormont",Belfast,Ireland,Kenya,Ireland,field,72,67,Ireland,,4.0,,AC Botha
57,361531,2008-08-04,ICC World Twenty20 Qualifier,"Civil Service Cricket Club, Stormont",Belfast,Netherlands,Scotland,Netherlands,field,110,107,Netherlands,,5.0,,RN ten Doeschate
58,361656,2008-10-11,T20 Canada,Maple Leaf North-West Ground,King City,Pakistan,Sri Lanka,Pakistan,field,141,137,Pakistan,,3.0,,Shoaib Malik
59,361660,2008-10-13,T20 Canada,Maple Leaf North-West Ground,King City,Pakistan,Sri Lanka,Sri Lanka,field,132,133,Sri Lanka,,5.0,,ST Jayasuriya
60,350347,2008-11-05,,New Wanderers Stadium,Johannesburg,South Africa,Bangladesh,Bangladesh,field,118,109,South Africa,12.0,,D/L,Abdur Razzak
61,366707,2008-12-26,West Indies tour of New Zealand,"Eden Park, Auckland",Auckland,New Zealand,West Indies,New Zealand,bat,170,180,tie,,,,CH Gayle
62,366708,2008-12-28,West Indies in New Zealand T20I Series,Seddon Park,Hamilton,New Zealand,West Indies,New Zealand,bat,191,155,New Zealand,36.0,,,JD Ryder
63,351694,2009-01-11,South Africa in Australia T20I Series,Melbourne Cricket Ground,,Australia,South Africa,Australia,bat,182,130,Australia,52.0,,,DA Warner
64,351695,2009-01-13,South Africa in Australia T20I Series,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,South Africa,South Africa,bat,161,157,Australia,,6.0,,MEK Hussey
65,386535,2009-02-10,,R Premadasa Stadium,Colombo,Sri Lanka,India,Sri Lanka,bat,171,174,India,,3.0,,YK Pathan
66,351696,2009-02-15,,Sydney Cricket Ground,,Australia,New Zealand,Australia,bat,150,149,Australia,1.0,,,NW Bracken
67,386494,2009-02-25,India in New Zealand T20I Series,AMI Stadium,Christchurch,New Zealand,India,New Zealand,field,166,162,New Zealand,,7.0,,BB McCullum
68,366622,2009-02-27,India in New Zealand T20I Series,Westpac Stadium,Wellington,New Zealand,India,New Zealand,field,150,149,New Zealand,,5.0,,BB McCullum
69,352674,2009-03-15,,"Queen's Park Oval, Port of Spain",Trinidad,West Indies,England,West Indies,field,123,121,West Indies,,6.0,,RR Sarwan
70,350475,2009-03-27,Australia in South Africa T20I Series,New Wanderers Stadium,Johannesburg,South Africa,Australia,South Africa,field,168,166,South Africa,,4.0,,DJ Hussey
71,350476,2009-03-29,Australia in South Africa T20I Series,SuperSport Park,Centurion,South Africa,Australia,Australia,field,156,139,South Africa,17.0,,,RE van der Merwe
72,392615,2009-05-07,,Dubai International Cricket Stadium,,Australia,Pakistan,Pakistan,field,108,109,Pakistan,,7.0,,Shahid Afridi
73,355991,2009-06-05,ICC World Twenty20,Lord's,London,England,Netherlands,Netherlands,field,162,163,Netherlands,,4.0,,TN de Grooth
74,355992,2009-06-06,ICC World Twenty20,Kennington Oval,London,New Zealand,Scotland,New Zealand,field,90,89,New Zealand,,7.0,,IG Butler
75,355993,2009-06-06,ICC World Twenty20,Kennington Oval,London,Australia,West Indies,Australia,bat,169,172,West Indies,,7.0,,CH Gayle
76,355994,2009-06-06,ICC World Twenty20,Trent Bridge,Nottingham,Bangladesh,India,India,bat,155,180,India,25.0,,,PP Ojha
77,355995,2009-06-07,ICC World Twenty20,Kennington Oval,London,Scotland,South Africa,Scotland,field,81,211,South Africa,130.0,,,AB de Villiers
78,355996,2009-06-07,ICC World Twenty20,Kennington Oval,London,England,Pakistan,Pakistan,field,185,137,England,48.0,,,LJ Wright
79,355997,2009-06-08,ICC World Twenty20,Trent Bridge,Nottingham,Bangladesh,Ireland,Ireland,field,137,138,Ireland,,6.0,,NJ O'Brien
80,355998,2009-06-08,ICC World Twenty20,Trent Bridge,Nottingham,Australia,Sri Lanka,Sri Lanka,field,159,160,Sri Lanka,,6.0,,KC Sangakkara
81,355999,2009-06-09,ICC World Twenty20,Lord's,London,Netherlands,Pakistan,Pakistan,bat,93,175,Pakistan,82.0,,,Kamran Akmal
82,356000,2009-06-09,ICC World Twenty20,Lord's,London,New Zealand,South Africa,New Zealand,field,127,128,South Africa,1.0,,,RE van der Merwe
83,356001,2009-06-10,ICC World Twenty20,Trent Bridge,Nottingham,India,Ireland,India,field,113,112,India,,8.0,,Z Khan
84,356002,2009-06-10,ICC World Twenty20,Trent Bridge,Nottingham,Sri Lanka,West Indies,West Indies,field,192,177,Sri Lanka,15.0,,,ST Jayasuriya
85,356003,2009-06-11,ICC World Twenty20,Trent Bridge,Nottingham,Ireland,New Zealand,Ireland,field,115,198,New Zealand,83.0,,,AJ Redmond
86,356004,2009-06-11,ICC World Twenty20,Trent Bridge,Nottingham,England,South Africa,England,bat,111,114,South Africa,,7.0,,JH Kallis
87,356005,2009-06-12,ICC World Twenty20,Lord's,London,Pakistan,Sri Lanka,Sri Lanka,bat,131,150,Sri Lanka,19.0,,,TM Dilshan
88,356006,2009-06-12,ICC World Twenty20,Lord's,London,India,West Indies,India,bat,153,156,West Indies,,7.0,,DJ Bravo
89,356007,2009-06-13,ICC World Twenty20,Kennington Oval,London,South Africa,West Indies,West Indies,field,183,163,South Africa,20.0,,,WD Parnell
90,356008,2009-06-13,ICC World Twenty20,Kennington Oval,London,New Zealand,Pakistan,New Zealand,bat,99,100,Pakistan,,6.0,,Umar Gul
91,356009,2009-06-14,ICC World Twenty20,Lord's,London,Ireland,Sri Lanka,Sri Lanka,bat,135,144,Sri Lanka,9.0,,,DPMD Jayawardene
92,356010,2009-06-14,ICC World Twenty20,Lord's,London,England,India,India,field,153,150,England,3.0,,,RJ Sidebottom
93,356011,2009-06-15,ICC World Twenty20,Kennington Oval,London,England,West Indies,England,bat,161,82,West Indies,,5.0,D/L,RR Sarwan
94,356012,2009-06-15,ICC World Twenty20,Kennington Oval,London,Ireland,Pakistan,Pakistan,bat,120,159,Pakistan,39.0,,,Kamran Akmal
95,356013,2009-06-16,ICC World Twenty20,Trent Bridge,Nottingham,New Zealand,Sri Lanka,Sri Lanka,bat,110,158,Sri Lanka,48.0,,,BAW Mendis
96,356014,2009-06-16,ICC World Twenty20,Trent Bridge,Nottingham,India,South Africa,South Africa,bat,118,130,South Africa,12.0,,,AB de Villiers
97,356015,2009-06-18,ICC World Twenty20,Trent Bridge,Nottingham,Pakistan,South Africa,Pakistan,bat,149,142,Pakistan,7.0,,,Shahid Afridi
98,356016,2009-06-19,ICC World Twenty20,Kennington Oval,London,Sri Lanka,West Indies,West Indies,field,158,101,Sri Lanka,57.0,,,TM Dilshan
99,356017,2009-06-21,ICC World Twenty20,Lord's,London,Pakistan,Sri Lanka,Sri Lanka,bat,139,138,Pakistan,,8.0,,Shahid Afridi
100,401076,2009-08-02,,"Warner Park, Basseterre",St Kitts,West Indies,Bangladesh,Bangladesh,bat,119,118,West Indies,,5.0,,DJG Sammy
101,403375,2009-08-12,,R Premadasa Stadium,Colombo,Sri Lanka,Pakistan,Pakistan,bat,120,172,Pakistan,52.0,,,Shahid Afridi
102,350050,2009-08-30,Australia in England T20I Series,Old Trafford,Manchester,England,Australia,England,field,4,145,no result,,,,
103,403385,2009-09-02,New Zealand in Sri Lanka T20I Series,R Premadasa Stadium,Colombo,Sri Lanka,New Zealand,New Zealand,bat,138,141,New Zealand,3.0,,,DL Vettori
104,403386,2009-09-04,New Zealand in Sri Lanka T20I Series,R Premadasa Stadium,Colombo,Sri Lanka,New Zealand,New Zealand,bat,148,170,New Zealand,22.0,,,JD Ryder
105,426723,2009-11-12,Pakistan v New Zealand T20I Series,Dubai International Cricket Stadium,,New Zealand,Pakistan,New Zealand,field,112,161,Pakistan,49.0,,,Imran Nazir
106,387563,2009-11-13,England in South Africa T20I Series,New Wanderers Stadium,Johannesburg,South Africa,England,South Africa,field,127,202,England,1.0,,D/L,EJG Morgan
107,426724,2009-11-13,Pakistan v New Zealand T20I Series,Dubai International Cricket Stadium,,New Zealand,Pakistan,Pakistan,bat,146,153,Pakistan,7.0,,,Umar Akmal
108,387564,2009-11-15,England in South Africa T20I Series,SuperSport Park,Centurion,South Africa,England,South Africa,bat,241,157,South Africa,84.0,,,LE Bosman
109,430884,2009-12-09,Sri Lanka in India T20I Series,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,Sri Lanka,India,field,186,215,Sri Lanka,29.0,,,KC Sangakkara
110,430885,2009-12-12,Sri Lanka in India T20I Series,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Sri Lanka,Sri Lanka,bat,211,206,India,,6.0,,Yuvraj Singh
111,423782,2010-02-03,,Seddon Park,Hamilton,New Zealand,Bangladesh,Bangladesh,bat,79,78,New Zealand,,10.0,,DL Vettori
112,406207,2010-02-05,,Melbourne Cricket Ground,,Australia,Pakistan,Australia,bat,127,125,Australia,2.0,,,SW Tait
113,439497,2010-02-09,ICC World Twenty20 Qualifier,Dubai International Cricket Stadium,,Canada,Netherlands,Canada,bat,142,146,Netherlands,,6.0,,B Zuiderent
114,439499,2010-02-10,ICC World Twenty20 Qualifier,Dubai International Cricket Stadium,,Canada,Kenya,Kenya,field,138,141,Kenya,,9.0,,AA Obanda
115,439505,2010-02-11,ICC World Twenty20 Qualifier,Dubai International Cricket Stadium,,Ireland,Scotland,Ireland,bat,136,99,Ireland,37.0,,,DT Johnston
116,439510,2010-02-13,ICC World Twenty20 Qualifier,Dubai International Cricket Stadium,,Ireland,Netherlands,Ireland,bat,151,86,Ireland,65.0,,,AR Cusack
117,440945,2010-02-19,Pakistan v England T20I Series,Dubai International Cricket Stadium,,England,Pakistan,Pakistan,bat,130,129,England,,7.0,,EJG Morgan
118,440946,2010-02-20,Pakistan v England T20I Series,Dubai International Cricket Stadium,,England,Pakistan,Pakistan,field,148,149,Pakistan,,4.0,,Abdul Razzaq
119,406197,2010-02-21,West Indies in Australia T20I Series,Bellerive Oval,Hobart,Australia,West Indies,Australia,bat,179,141,Australia,38.0,,,SW Tait
120,406198,2010-02-23,West Indies in Australia T20I Series,Sydney Cricket Ground,,Australia,West Indies,West Indies,bat,142,138,Australia,,8.0,,DA Warner
121,423787,2010-02-26,Australia in New Zealand T20I Series,Westpac Stadium,Wellington,New Zealand,Australia,New Zealand,bat,118,119,Australia,,6.0,,MG Johnson
122,423788,2010-02-28,Australia in New Zealand T20I Series,AMI Stadium,Christchurch,New Zealand,Australia,New Zealand,bat,223,220,tie,,,,BB McCullum
123,439139,2010-02-28,,"Queen's Park Oval, Port of Spain",Trinidad,West Indies,Zimbabwe,Zimbabwe,bat,79,105,Zimbabwe,26.0,,,AG Cremer
124,412677,2010-04-30,ICC World Twenty20,Providence Stadium,Guyana,West Indies,Ireland,West Indies,bat,138,68,West Indies,70.0,,,DJG Sammy
125,412678,2010-04-30,ICC World Twenty20,Providence Stadium,Guyana,New Zealand,Sri Lanka,Sri Lanka,bat,139,135,New Zealand,,2.0,,NL McCullum
126,412680,2010-05-01,ICC World Twenty20,"Beausejour Stadium, Gros Islet",St Lucia,Bangladesh,Pakistan,Pakistan,bat,151,172,Pakistan,21.0,,,Salman Butt
127,412682,2010-05-02,ICC World Twenty20,"Beausejour Stadium, Gros Islet",St Lucia,India,South Africa,South Africa,field,186,172,India,14.0,,,SK Raina
128,412683,2010-05-02,ICC World Twenty20,"Beausejour Stadium, Gros Islet",St Lucia,Australia,Pakistan,Australia,bat,191,157,Australia,34.0,,,SR Watson
129,412685,2010-05-03,ICC World Twenty20,Providence Stadium,Guyana,West Indies,England,West Indies,field,60,191,West Indies,,8.0,D/L,DJG Sammy
130,412686,2010-05-03,ICC World Twenty20,Providence Stadium,Guyana,Sri Lanka,Zimbabwe,Sri Lanka,bat,173,29,Sri Lanka,14.0,,D/L,DPMD Jayawardene
131,412681,2010-05-04,ICC World Twenty20,Providence Stadium,Guyana,England,Ireland,Ireland,field,120,14,no result,,,,
132,412684,2010-05-04,ICC World Twenty20,Providence Stadium,Guyana,New Zealand,Zimbabwe,New Zealand,field,36,84,New Zealand,7.0,,D/L,NL McCullum
133,412688,2010-05-05,ICC World Twenty20,"Kensington Oval, Bridgetown",Barbados,Australia,Bangladesh,Australia,bat,141,114,Australia,27.0,,,MEK Hussey
134,412689,2010-05-06,ICC World Twenty20,"Kensington Oval, Bridgetown",Barbados,England,Pakistan,England,field,151,147,England,,6.0,,KP Pietersen
135,412690,2010-05-06,ICC World Twenty20,"Kensington Oval, Bridgetown",Barbados,New Zealand,South Africa,South Africa,bat,157,170,South Africa,13.0,,,JA Morkel
136,412691,2010-05-07,ICC World Twenty20,"Kensington Oval, Bridgetown",Barbados,Australia,India,India,field,184,135,Australia,49.0,,,DA Warner
137,412692,2010-05-07,ICC World Twenty20,"Kensington Oval, Bridgetown",Barbados,West Indies,Sri Lanka,Sri Lanka,bat,138,195,Sri Lanka,57.0,,,DPMD Jayawardene
138,412693,2010-05-08,ICC World Twenty20,"Kensington Oval, Bridgetown",Barbados,New Zealand,Pakistan,Pakistan,field,133,132,New Zealand,1.0,,,IG Butler
139,412694,2010-05-08,ICC World Twenty20,"Kensington Oval, Bridgetown",Barbados,England,South Africa,England,bat,168,129,England,39.0,,,KP Pietersen
140,412695,2010-05-09,ICC World Twenty20,"Kensington Oval, Bridgetown",Barbados,West Indies,India,India,field,169,155,West Indies,14.0,,,CH Gayle
141,412696,2010-05-09,ICC World Twenty20,"Kensington Oval, Bridgetown",Barbados,Australia,Sri Lanka,Australia,bat,168,87,Australia,81.0,,,CL White
142,412697,2010-05-10,ICC World Twenty20,"Beausejour Stadium, Gros Islet",St Lucia,Pakistan,South Africa,Pakistan,bat,148,137,Pakistan,11.0,,,Umar Akmal
143,412698,2010-05-10,ICC World Twenty20,"Beausejour Stadium, Gros Islet",St Lucia,England,New Zealand,New Zealand,bat,153,149,England,,3.0,,TT Bresnan
144,412699,2010-05-11,ICC World Twenty20,"Beausejour Stadium, Gros Islet",St Lucia,India,Sri Lanka,India,bat,163,167,Sri Lanka,,5.0,,AD Mathews
145,412700,2010-05-11,ICC World Twenty20,"Beausejour Stadium, Gros Islet",St Lucia,West Indies,Australia,West Indies,bat,105,109,Australia,,6.0,,SPD Smith
146,412701,2010-05-13,ICC World Twenty20,"Beausejour Stadium, Gros Islet",St Lucia,England,Sri Lanka,Sri Lanka,bat,132,128,England,,7.0,,SCJ Broad
147,412702,2010-05-14,ICC World Twenty20,"Beausejour Stadium, Gros Islet",St Lucia,Australia,Pakistan,Australia,field,197,191,Australia,,3.0,,MEK Hussey
148,412703,2010-05-16,ICC World Twenty20,"Kensington Oval, Bridgetown",Barbados,Australia,England,England,field,147,148,England,,7.0,,C Kieswetter
149,439146,2010-05-19,South Africa in West Indies T20I Series,"Sir Vivian Richards Stadium, North Sound",Antigua,West Indies,South Africa,West Indies,field,123,136,South Africa,13.0,,,R McLaren
150,447539,2010-05-20,South Africa in West Indies T20I Series,"Sir Vivian Richards Stadium, North Sound",Antigua,West Indies,South Africa,West Indies,field,119,120,South Africa,1.0,,,J Botha
151,456991,2010-05-22,New Zealand v Sri Lanka T20I Series,Central Broward Regional Park Stadium Turf Ground,Lauderhill,New Zealand,Sri Lanka,New Zealand,bat,120,92,New Zealand,28.0,,,SB Styris
152,456992,2010-05-23,New Zealand v Sri Lanka T20I Series,Central Broward Regional Park Stadium Turf Ground,Lauderhill,New Zealand,Sri Lanka,New Zealand,bat,81,82,Sri Lanka,,7.0,,KMDN Kulasekara
153,452153,2010-06-12,India in Zimbabwe T20I Series,Harare Sports Club,,Zimbabwe,India,India,field,111,112,India,,6.0,,YK Pathan
154,452154,2010-06-13,India in Zimbabwe T20I Series,Harare Sports Club,,Zimbabwe,India,India,field,140,144,India,,7.0,,SK Raina
155,426392,2010-07-05,MCC Spirit of Cricket T20I Series,Edgbaston,Birmingham,Australia,Pakistan,Pakistan,bat,144,167,Pakistan,23.0,,,Umar Akmal
156,426393,2010-07-06,MCC Spirit of Cricket T20I Series,Edgbaston,Birmingham,Australia,Pakistan,Pakistan,bat,151,162,Pakistan,11.0,,,Mohammad Amir
157,426417,2010-09-05,Pakistan in England T20I Series,Sophia Gardens,Cardiff,England,Pakistan,England,field,129,126,England,,5.0,,MH Yardy
158,426418,2010-09-07,Pakistan in England T20I Series,Sophia Gardens,Cardiff,England,Pakistan,Pakistan,bat,90,89,England,,6.0,,TT Bresnan
159,463141,2010-10-08,Zimbabwe in South Africa T20I Series,OUTsurance Oval,Bloemfontein,South Africa,Zimbabwe,Zimbabwe,bat,169,168,South Africa,,7.0,,GC Smith
160,463142,2010-10-10,Zimbabwe in South Africa T20I Series,De Beers Diamond Oval,Kimberley,South Africa,Zimbabwe,South Africa,bat,194,186,South Africa,8.0,,,JP Duminy
161,478279,2010-10-26,Pakistan v South Africa T20I Series,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,South Africa,Pakistan,bat,119,120,South Africa,,6.0,,JP Duminy
162,461565,2010-10-27,Pakistan v South Africa T20I Series,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,South Africa,Pakistan,bat,120,125,South Africa,,6.0,,J Theron
163,446956,2010-10-31,,Western Australia Cricket Association Ground,Perth,Australia,Sri Lanka,Australia,bat,133,135,Sri Lanka,,7.0,,S Randiv
164,473918,2010-12-26,Pakistan in New Zealand T20I Series,Eden Park,Auckland,New Zealand,Pakistan,New Zealand,field,146,143,New Zealand,,5.0,,TG Southee
165,473919,2010-12-28,Pakistan in New Zealand T20I Series,Seddon Park,Hamilton,New Zealand,Pakistan,Pakistan,field,185,146,New Zealand,39.0,,,NL McCullum
166,473920,2010-12-30,Pakistan in New Zealand T20I Series,AMI Stadium,Christchurch,New Zealand,Pakistan,Pakistan,bat,80,183,Pakistan,103.0,,,Abdul Razzaq
167,463149,2011-01-09,,Moses Mabhida Stadium,Durban,South Africa,India,India,bat,147,168,India,21.0,,,RG Sharma
168,446960,2011-01-12,England in Australia T20I Series,Adelaide Oval,,Australia,England,Australia,bat,157,158,England,,1.0,,SR Watson
169,446961,2011-01-14,England in Australia T20I Series,Melbourne Cricket Ground,,Australia,England,Australia,bat,147,143,Australia,4.0,,,AJ Finch
170,489212,2011-04-21,,"Beausejour Stadium, Gros Islet",St Lucia,West Indies,Pakistan,West Indies,bat,150,143,West Indies,7.0,,,D Bishoo
171,489220,2011-06-04,,"Queen's Park Oval, Port of Spain",Trinidad,West Indies,India,West Indies,field,143,159,India,16.0,,,S Badrinath
172,474466,2011-06-25,,County Ground,Bristol,England,Sri Lanka,Sri Lanka,field,136,137,Sri Lanka,,9.0,,DPMD Jayawardene
173,516204,2011-08-06,Australia in Sri Lanka T20I Series,Pallekele International Cricket Stadium,,Sri Lanka,Australia,Australia,field,198,163,Sri Lanka,35.0,,,TM Dilshan
174,516205,2011-08-08,Australia in Sri Lanka T20I Series,Pallekele International Cricket Stadium,,Sri Lanka,Australia,Sri Lanka,bat,157,149,Sri Lanka,8.0,,,BAW Mendis
175,474476,2011-08-31,,Old Trafford,Manchester,England,India,India,bat,169,165,England,,6.0,,JW Dernbach
176,523735,2011-09-16,Pakistan in Zimbabwe T20I Series,Harare Sports Club,,Zimbabwe,Pakistan,Zimbabwe,field,113,198,Pakistan,85.0,,,Mohammad Hafeez
177,523736,2011-09-18,Pakistan in Zimbabwe T20I Series,Harare Sports Club,,Zimbabwe,Pakistan,Pakistan,bat,136,141,Pakistan,5.0,,,Mohammad Hafeez
178,525816,2011-09-23,West Indies in England T20I Series,Kennington Oval,London,England,West Indies,England,field,128,125,England,,10.0,,RS Bopara
